"Species","Trap","Year","Distance","Cover"
"Leucopogon montanus",1,2018,"10m",0
"Leucopogon montanus",1,2018,"15m",0
"Luzula novae-cambriae",1,2018,"1m",0
"Luzula novae-cambriae",1,2018,"5m",1
"Luzula novae-cambriae",1,2018,"10m",1
"Luzula novae-cambriae",1,2018,"15m",1
"Melicytus angustifolius",1,2018,"1m",0
"Melicytus angustifolius",1,2018,"5m",0
"Melicytus angustifolius",1,2018,"10m",0
"Melicytus angustifolius",1,2018,"15m",0
"Microseris lanceolata",1,2018,"1m",0
"Microseris lanceolata",1,2018,"5m",0
"Microseris lanceolata",1,2018,"10m",1
"Microseris lanceolata",1,2018,"15m",1
"Olearia brevipedunculata",1,2018,"1m",0
"Olearia brevipedunculata",1,2018,"5m",0
"Olearia brevipedunculata",1,2018,"10m",1
"Olearia brevipedunculata",1,2018,"15m",1
"Olearia frostii",1,2018,"1m",0
"Olearia frostii",1,2018,"5m",0
"Olearia frostii",1,2018,"10m",0
"Olearia frostii",1,2018,"15m",1
"Oreomyrrhis eriopoda",1,2018,"1m",0
"Oreomyrrhis eriopoda",1,2018,"5m",0
"Oreomyrrhis eriopoda",1,2018,"10m",1
"Oreomyrrhis eriopoda",1,2018,"15m",1
"Orites Lancifolius",1,2018,"1m",0
"Orites Lancifolius",1,2018,"5m",0
"Orites Lancifolius",1,2018,"10m",1
"Orites Lancifolius",1,2018,"15m",1
"Phebalium squamulosum",1,2018,"1m",0
"Phebalium squamulosum",1,2018,"5m",0
"Phebalium squamulosum",1,2018,"10m",1
"Phebalium squamulosum",1,2018,"15m",1
"Pimelea alpina",1,2018,"1m",0
"Pimelea alpina",1,2018,"5m",1
"Pimelea alpina",1,2018,"10m",0
"Pimelea alpina",1,2018,"15m",1
"Pimelea axiflora",1,2018,"1m",0
"Pimelea axiflora",1,2018,"5m",0
"Pimelea axiflora",1,2018,"10m",0
"Pimelea axiflora",1,2018,"15m",0
"Plantago euryphylla",1,2018,"1m",1
"Plantago euryphylla",1,2018,"5m",1
"Plantago euryphylla",1,2018,"10m",1
"Plantago euryphylla",1,2018,"15m",1
"Poa hiemata",1,2018,"1m",1
"Poa hiemata",1,2018,"5m",1
"Poa hiemata",1,2018,"10m",1
"Poa hiemata",1,2018,"15m",1
"Poa hothamensis",1,2018,"1m",0
"Poa hothamensis",1,2018,"5m",1
"Poa hothamensis",1,2018,"10m",1
"Poa hothamensis",1,2018,"15m",1
"Podolepis robusta (grey form)",1,2018,"1m",0
"Podolepis robusta (grey form)",1,2018,"5m",0
"Podolepis robusta (grey form)",1,2018,"10m",0
"Podolepis robusta (grey form)",1,2018,"15m",0
"Prasophyllum alpinum",1,2018,"1m",0
"Prasophyllum alpinum",1,2018,"5m",0
"Prasophyllum alpinum",1,2018,"10m",0
"Prasophyllum alpinum",1,2018,"15m",1
"Ranunculus victoriensis",1,2018,"1m",1
"Ranunculus victoriensis",1,2018,"5m",1
"Ranunculus victoriensis",1,2018,"10m",1
"Ranunculus victoriensis",1,2018,"15m",1
"Rytidosperma nudiflorum",1,2018,"1m",1
"Rytidosperma nudiflorum",1,2018,"5m",1
"Rytidosperma nudiflorum",1,2018,"10m",1
"Rytidosperma nudiflorum",1,2018,"15m",1
"Scleranthus biflorus",1,2018,"1m",0
"Scleranthus biflorus",1,2018,"5m",1
"Scleranthus biflorus",1,2018,"10m",1
"Scleranthus biflorus",1,2018,"15m",1
"Scleranthus singuliflorus",1,2018,"1m",0
"Scleranthus singuliflorus",1,2018,"5m",0
"Scleranthus singuliflorus",1,2018,"10m",0
"Scleranthus singuliflorus",1,2018,"15m",0
"Senecio gunnii",1,2018,"1m",0
"Senecio gunnii",1,2018,"5m",0
"Senecio gunnii",1,2018,"10m",0
"Senecio gunnii",1,2018,"15m",1
"Senecio pinnatifolius",1,2018,"1m",0
"Senecio pinnatifolius",1,2018,"5m",1
"Senecio pinnatifolius",1,2018,"10m",1
"Senecio pinnatifolius",1,2018,"15m",1
"Tasmannia lanceolata",1,2018,"1m",0
"Tasmannia lanceolata",1,2018,"5m",0
"Tasmannia lanceolata",1,2018,"10m",0
"Tasmannia lanceolata",1,2018,"15m",0
"Trachymene humilis",1,2018,"1m",1
"Trachymene humilis",1,2018,"5m",0
"Trachymene humilis",1,2018,"10m",1
"Trachymene humilis",1,2018,"15m",0
"Trifolium",1,2018,"1m",0
"Trifolium",1,2018,"5m",0
"Trifolium",1,2018,"10m",0
"Trifolium",1,2018,"15m",0
"Trisetum spicatum",1,2018,"1m",0
"Trisetum spicatum",1,2018,"5m",0
"Trisetum spicatum",1,2018,"10m",0
"Trisetum spicatum",1,2018,"15m",1
"Viola betonicifolia",1,2018,"1m",0
"Viola betonicifolia",1,2018,"5m",0
"Viola betonicifolia",1,2018,"10m",0
"Viola betonicifolia",1,2018,"15m",0
"Wahlenbergia",1,2018,"1m",0
"Wahlenbergia",1,2018,"5m",0
"Wahlenbergia",1,2018,"10m",1
"Wahlenbergia",1,2018,"15m",1
"Xerochrysum subundulatum",1,2018,"1m",0
"Xerochrysum subundulatum",1,2018,"5m",1
"Xerochrysum subundulatum",1,2018,"10m",1
"Xerochrysum subundulatum",1,2018,"15m",1
"Acaena novae-zelandiae",2,2018,"1m",0
"Acaena novae-zelandiae",2,2018,"5m",1
"Acaena novae-zelandiae",2,2018,"10m",1
"Acaena novae-zelandiae",2,2018,"15m",0
"Acetosella vulgaris",2,2018,"1m",0
"Acetosella vulgaris",2,2018,"5m",1
"Acetosella vulgaris",2,2018,"10m",1
"Acetosella vulgaris",2,2018,"15m",1
"Agrostis capillaris",2,2018,"1m",0
"Agrostis capillaris",2,2018,"5m",0
"Agrostis capillaris",2,2018,"10m",0
"Agrostis capillaris",2,2018,"15m",0
"Agrostis venusta",2,2018,"1m",0
"Agrostis venusta",2,2018,"5m",1
"Agrostis venusta",2,2018,"10m",1
"Agrostis venusta",2,2018,"15m",1
"Argyrotegium fordianum",2,2018,"1m",0
"Argyrotegium fordianum",2,2018,"5m",0
"Argyrotegium fordianum",2,2018,"10m",0
"Argyrotegium fordianum",2,2018,"15m",1
"Asperula gunnii",2,2018,"1m",1
"Asperula gunnii",2,2018,"5m",1
"Asperula gunnii",2,2018,"10m",1
"Asperula gunnii",2,2018,"15m",1
"Asterolasia trymalioides",2,2018,"1m",0
"Asterolasia trymalioides",2,2018,"5m",0
"Asterolasia trymalioides",2,2018,"10m",0
"Asterolasia trymalioides",2,2018,"15m",0
"Bossiaea foliosa",2,2018,"1m",0
"Bossiaea foliosa",2,2018,"5m",0
"Bossiaea foliosa",2,2018,"10m",0
"Bossiaea foliosa",2,2018,"15m",0
"Brachyscome decipiens",2,2018,"1m",0
"Brachyscome decipiens",2,2018,"5m",1
"Brachyscome decipiens",2,2018,"10m",1
"Brachyscome decipiens",2,2018,"15m",1
"Brachyscome spathulata",2,2018,"1m",0
"Brachyscome spathulata",2,2018,"5m",0
"Brachyscome spathulata",2,2018,"10m",0
"Brachyscome spathulata",2,2018,"15m",0
"Bulbine glauca",2,2018,"1m",0
"Bulbine glauca",2,2018,"5m",0
"Bulbine glauca",2,2018,"10m",0
"Bulbine glauca",2,2018,"15m",0
"Carex breviculmis",2,2018,"1m",0
"Carex breviculmis",2,2018,"5m",0
"Carex breviculmis",2,2018,"10m",0
"Carex breviculmis",2,2018,"15m",0
"Carex hebes",2,2018,"1m",0
"Carex hebes",2,2018,"5m",1
"Carex hebes",2,2018,"10m",1
"Carex hebes",2,2018,"15m",1
"Celmisia costiniana",2,2018,"1m",1
"Celmisia costiniana",2,2018,"5m",1
"Celmisia costiniana",2,2018,"10m",1
"Celmisia costiniana",2,2018,"15m",1
"Colobanthus affinis",2,2018,"1m",1
"Colobanthus affinis",2,2018,"5m",1
"Colobanthus affinis",2,2018,"10m",1
"Colobanthus affinis",2,2018,"15m",1
"Craspedia aurantia",2,2018,"1m",0
"Craspedia aurantia",2,2018,"5m",0
"Craspedia aurantia",2,2018,"10m",1
"Craspedia aurantia",2,2018,"15m",1
"Craspedia gracilis",2,2018,"1m",0
"Craspedia gracilis",2,2018,"5m",0
"Craspedia gracilis",2,2018,"10m",0
"Craspedia gracilis",2,2018,"15m",0
"Pappochroma bellidioides",2,2018,"1m",1
"Pappochroma bellidioides",2,2018,"5m",1
"Pappochroma bellidioides",2,2018,"10m",1
"Pappochroma bellidioides",2,2018,"15m",1
"Erigeron nitidus (nitidius)",2,2018,"1m",1
"Erigeron nitidus (nitidius)",2,2018,"5m",1
"Erigeron nitidus (nitidius)",2,2018,"10m",1
"Erigeron nitidus (nitidius)",2,2018,"15m",1
"Eucalyptus pauciflora",2,2018,"1m",0
"Eucalyptus pauciflora",2,2018,"5m",0
"Eucalyptus pauciflora",2,2018,"10m",0
"Eucalyptus pauciflora",2,2018,"15m",0
"Geranium",2,2018,"1m",0
"Geranium",2,2018,"5m",0
"Geranium",2,2018,"10m",0
"Geranium",2,2018,"15m",0
"Gonocarpus montanus",2,2018,"1m",0
"Gonocarpus montanus",2,2018,"5m",0
"Gonocarpus montanus",2,2018,"10m",0
"Gonocarpus montanus",2,2018,"15m",0
"Grevillea australis",2,2018,"1m",0
"Grevillea australis",2,2018,"5m",1
"Grevillea australis",2,2018,"10m",0
"Grevillea australis",2,2018,"15m",0
"Helichrysum rutidolepis",2,2018,"1m",0
"Helichrysum rutidolepis",2,2018,"5m",0
"Helichrysum rutidolepis",2,2018,"10m",0
"Helichrysum rutidolepis",2,2018,"15m",0
"Hovea montana",2,2018,"1m",0
"Hovea montana",2,2018,"5m",0
"Hovea montana",2,2018,"10m",0
"Hovea montana",2,2018,"15m",0
"Hypochaeris radicata",2,2018,"1m",1
"Hypochaeris radicata",2,2018,"5m",1
"Hypochaeris radicata",2,2018,"10m",1
"Hypochaeris radicata",2,2018,"15m",1
"Leptorhynchos squamatus",2,2018,"1m",0
"Leptorhynchos squamatus",2,2018,"5m",0
"Leptorhynchos squamatus",2,2018,"10m",0
"Leptorhynchos squamatus",2,2018,"15m",0
"Leucopogon montanus",2,2018,"1m",0
"Leucopogon montanus",2,2018,"5m",0
"Leucopogon montanus",2,2018,"10m",0
"Leucopogon montanus",2,2018,"15m",0
"Luzula novae-cambriae",2,2018,"1m",1
"Luzula novae-cambriae",2,2018,"5m",1
"Luzula novae-cambriae",2,2018,"10m",1
"Luzula novae-cambriae",2,2018,"15m",1
"Melicytus angustifolius",2,2018,"1m",0
"Melicytus angustifolius",2,2018,"5m",0
"Melicytus angustifolius",2,2018,"10m",0
"Melicytus angustifolius",2,2018,"15m",0
"Microseris lanceolata",2,2018,"1m",0
"Microseris lanceolata",2,2018,"5m",0
"Microseris lanceolata",2,2018,"10m",0
"Microseris lanceolata",2,2018,"15m",1
"Olearia brevipedunculata",2,2018,"1m",0
"Olearia brevipedunculata",2,2018,"5m",0
"Olearia brevipedunculata",2,2018,"10m",0
"Olearia brevipedunculata",2,2018,"15m",1
"Olearia frostii",2,2018,"1m",0
"Olearia frostii",2,2018,"5m",1
"Olearia frostii",2,2018,"10m",1
"Olearia frostii",2,2018,"15m",1
"Oreomyrrhis eriopoda",2,2018,"1m",0
"Oreomyrrhis eriopoda",2,2018,"5m",0
"Oreomyrrhis eriopoda",2,2018,"10m",0
"Oreomyrrhis eriopoda",2,2018,"15m",1
"Orites Lancifolius",2,2018,"1m",0
"Orites Lancifolius",2,2018,"5m",0
"Orites Lancifolius",2,2018,"10m",0
"Orites Lancifolius",2,2018,"15m",0
"Phebalium squamulosum",2,2018,"1m",0
"Phebalium squamulosum",2,2018,"5m",0
"Phebalium squamulosum",2,2018,"10m",0
"Phebalium squamulosum",2,2018,"15m",0
"Pimelea alpina",2,2018,"1m",0
"Pimelea alpina",2,2018,"5m",0
"Pimelea alpina",2,2018,"10m",0
"Pimelea alpina",2,2018,"15m",0
"Pimelea axiflora",2,2018,"1m",0
"Pimelea axiflora",2,2018,"5m",0
"Pimelea axiflora",2,2018,"10m",0
"Pimelea axiflora",2,2018,"15m",0
"Plantago euryphylla",2,2018,"1m",1
"Plantago euryphylla",2,2018,"5m",1
"Plantago euryphylla",2,2018,"10m",1
"Plantago euryphylla",2,2018,"15m",1
"Poa hiemata",2,2018,"1m",0
"Poa hiemata",2,2018,"5m",1
"Poa hiemata",2,2018,"10m",1
"Poa hiemata",2,2018,"15m",1
"Poa hothamensis",2,2018,"1m",0
"Poa hothamensis",2,2018,"5m",1
"Poa hothamensis",2,2018,"10m",1
"Poa hothamensis",2,2018,"15m",1
"Podolepis robusta (grey form)",2,2018,"1m",0
"Podolepis robusta (grey form)",2,2018,"5m",0
"Podolepis robusta (grey form)",2,2018,"10m",0
"Podolepis robusta (grey form)",2,2018,"15m",0
"Prasophyllum alpinum",2,2018,"1m",0
"Prasophyllum alpinum",2,2018,"5m",0
"Prasophyllum alpinum",2,2018,"10m",0
"Prasophyllum alpinum",2,2018,"15m",0
"Ranunculus victoriensis",2,2018,"1m",0
"Ranunculus victoriensis",2,2018,"5m",1
"Ranunculus victoriensis",2,2018,"10m",1
"Ranunculus victoriensis",2,2018,"15m",1
"Rytidosperma nudiflorum",2,2018,"1m",1
"Rytidosperma nudiflorum",2,2018,"5m",1
"Rytidosperma nudiflorum",2,2018,"10m",1
"Rytidosperma nudiflorum",2,2018,"15m",1
"Scleranthus biflorus",2,2018,"1m",1
"Scleranthus biflorus",2,2018,"5m",1
"Scleranthus biflorus",2,2018,"10m",1
"Scleranthus biflorus",2,2018,"15m",1
"Scleranthus singuliflorus",2,2018,"1m",0
"Scleranthus singuliflorus",2,2018,"5m",0
"Scleranthus singuliflorus",2,2018,"10m",0
"Scleranthus singuliflorus",2,2018,"15m",0
"Senecio gunnii",2,2018,"1m",0
"Senecio gunnii",2,2018,"5m",0
"Senecio gunnii",2,2018,"10m",0
"Senecio gunnii",2,2018,"15m",0
"Senecio pinnatifolius",2,2018,"1m",1
"Senecio pinnatifolius",2,2018,"5m",0
"Senecio pinnatifolius",2,2018,"10m",0
"Senecio pinnatifolius",2,2018,"15m",1
"Tasmannia lanceolata",2,2018,"1m",0
"Tasmannia lanceolata",2,2018,"5m",0
"Tasmannia lanceolata",2,2018,"10m",0
"Tasmannia lanceolata",2,2018,"15m",0
"Trachymene humilis",2,2018,"1m",1
"Trachymene humilis",2,2018,"5m",1
"Trachymene humilis",2,2018,"10m",1
"Trachymene humilis",2,2018,"15m",1
"Trifolium",2,2018,"1m",0
"Trifolium",2,2018,"5m",1
"Trifolium",2,2018,"10m",1
"Trifolium",2,2018,"15m",1
"Trisetum spicatum",2,2018,"1m",0
"Trisetum spicatum",2,2018,"5m",1
"Trisetum spicatum",2,2018,"10m",1
"Trisetum spicatum",2,2018,"15m",1
"Viola betonicifolia",2,2018,"1m",0
"Viola betonicifolia",2,2018,"5m",0
"Viola betonicifolia",2,2018,"10m",1
"Viola betonicifolia",2,2018,"15m",1
"Wahlenbergia",2,2018,"1m",0
"Wahlenbergia",2,2018,"5m",0
"Wahlenbergia",2,2018,"10m",0
"Wahlenbergia",2,2018,"15m",0
"Xerochrysum subundulatum",2,2018,"1m",0
"Xerochrysum subundulatum",2,2018,"5m",0
"Xerochrysum subundulatum",2,2018,"10m",0
"Xerochrysum subundulatum",2,2018,"15m",0
"Acaena novae-zelandiae",3,2018,"1m",0
"Acaena novae-zelandiae",3,2018,"5m",0
"Acaena novae-zelandiae",3,2018,"10m",0
"Acaena novae-zelandiae",3,2018,"15m",1
"Acetosella vulgaris",3,2018,"1m",1
"Acetosella vulgaris",3,2018,"5m",1
"Acetosella vulgaris",3,2018,"10m",1
"Acetosella vulgaris",3,2018,"15m",1
"Agrostis capillaris",3,2018,"1m",0
"Agrostis capillaris",3,2018,"5m",0
"Agrostis capillaris",3,2018,"10m",0
"Agrostis capillaris",3,2018,"15m",0
"Agrostis venusta",3,2018,"1m",1
"Agrostis venusta",3,2018,"5m",1
"Agrostis venusta",3,2018,"10m",1
"Agrostis venusta",3,2018,"15m",1
"Argyrotegium fordianum",3,2018,"1m",0
"Argyrotegium fordianum",3,2018,"5m",0
"Argyrotegium fordianum",3,2018,"10m",1
"Argyrotegium fordianum",3,2018,"15m",0
"Asperula gunnii",3,2018,"1m",1
"Asperula gunnii",3,2018,"5m",1
"Asperula gunnii",3,2018,"10m",1
"Asperula gunnii",3,2018,"15m",1
"Asterolasia trymalioides",3,2018,"1m",0
"Asterolasia trymalioides",3,2018,"5m",0
"Asterolasia trymalioides",3,2018,"10m",0
"Asterolasia trymalioides",3,2018,"15m",0
"Bossiaea foliosa",3,2018,"1m",0
"Bossiaea foliosa",3,2018,"5m",0
"Bossiaea foliosa",3,2018,"10m",0
"Bossiaea foliosa",3,2018,"15m",0
"Brachyscome decipiens",3,2018,"1m",1
"Brachyscome decipiens",3,2018,"5m",1
"Brachyscome decipiens",3,2018,"10m",1
"Brachyscome decipiens",3,2018,"15m",1
"Brachyscome spathulata",3,2018,"1m",0
"Brachyscome spathulata",3,2018,"5m",0
"Brachyscome spathulata",3,2018,"10m",0
"Brachyscome spathulata",3,2018,"15m",0
"Bulbine glauca",3,2018,"1m",0
"Bulbine glauca",3,2018,"5m",0
"Bulbine glauca",3,2018,"10m",0
"Bulbine glauca",3,2018,"15m",0
"Carex breviculmis",3,2018,"1m",0
"Carex breviculmis",3,2018,"5m",0
"Carex breviculmis",3,2018,"10m",0
"Carex breviculmis",3,2018,"15m",0
"Carex hebes",3,2018,"1m",1
"Carex hebes",3,2018,"5m",1
"Carex hebes",3,2018,"10m",1
"Carex hebes",3,2018,"15m",1
"Celmisia costiniana",3,2018,"1m",1
"Celmisia costiniana",3,2018,"5m",1
"Celmisia costiniana",3,2018,"10m",1
"Celmisia costiniana",3,2018,"15m",1
"Colobanthus affinis",3,2018,"1m",1
"Colobanthus affinis",3,2018,"5m",1
"Colobanthus affinis",3,2018,"10m",1
"Colobanthus affinis",3,2018,"15m",1
"Craspedia aurantia",3,2018,"1m",0
"Craspedia aurantia",3,2018,"5m",1
"Craspedia aurantia",3,2018,"10m",1
"Craspedia aurantia",3,2018,"15m",1
"Craspedia gracilis",3,2018,"1m",0
"Craspedia gracilis",3,2018,"5m",0
"Craspedia gracilis",3,2018,"10m",1
"Craspedia gracilis",3,2018,"15m",0
"Pappochroma bellidioides",3,2018,"1m",1
"Pappochroma bellidioides",3,2018,"5m",1
"Pappochroma bellidioides",3,2018,"10m",1
"Pappochroma bellidioides",3,2018,"15m",1
"Erigeron nitidus (nitidius)",3,2018,"1m",0
"Erigeron nitidus (nitidius)",3,2018,"5m",0
"Erigeron nitidus (nitidius)",3,2018,"10m",0
"Erigeron nitidus (nitidius)",3,2018,"15m",0
"Eucalyptus pauciflora",3,2018,"1m",0
"Eucalyptus pauciflora",3,2018,"5m",0
"Eucalyptus pauciflora",3,2018,"10m",0
"Eucalyptus pauciflora",3,2018,"15m",0
"Geranium",3,2018,"1m",0
"Geranium",3,2018,"5m",0
"Geranium",3,2018,"10m",0
"Geranium",3,2018,"15m",0
"Gonocarpus montanus",3,2018,"1m",0
"Gonocarpus montanus",3,2018,"5m",0
"Gonocarpus montanus",3,2018,"10m",0
"Gonocarpus montanus",3,2018,"15m",0
"Grevillea australis",3,2018,"1m",1
"Grevillea australis",3,2018,"5m",1
"Grevillea australis",3,2018,"10m",1
"Grevillea australis",3,2018,"15m",1
"Helichrysum rutidolepis",3,2018,"1m",0
"Helichrysum rutidolepis",3,2018,"5m",0
"Helichrysum rutidolepis",3,2018,"10m",0
"Helichrysum rutidolepis",3,2018,"15m",0
"Hovea montana",3,2018,"1m",0
"Hovea montana",3,2018,"5m",0
"Hovea montana",3,2018,"10m",0
"Hovea montana",3,2018,"15m",0
"Hypochaeris radicata",3,2018,"1m",1
"Hypochaeris radicata",3,2018,"5m",1
"Hypochaeris radicata",3,2018,"10m",1
"Hypochaeris radicata",3,2018,"15m",1
"Leptorhynchos squamatus",3,2018,"1m",0
"Leptorhynchos squamatus",3,2018,"5m",0
"Leptorhynchos squamatus",3,2018,"10m",0
"Leptorhynchos squamatus",3,2018,"15m",0
"Leucopogon montanus",3,2018,"1m",0
"Leucopogon montanus",3,2018,"5m",0
"Leucopogon montanus",3,2018,"10m",0
"Leucopogon montanus",3,2018,"15m",0
"Luzula novae-cambriae",3,2018,"1m",1
"Luzula novae-cambriae",3,2018,"5m",1
"Luzula novae-cambriae",3,2018,"10m",1
"Luzula novae-cambriae",3,2018,"15m",1
"Melicytus angustifolius",3,2018,"1m",0
"Melicytus angustifolius",3,2018,"5m",0
"Melicytus angustifolius",3,2018,"10m",0
"Melicytus angustifolius",3,2018,"15m",0
"Microseris lanceolata",3,2018,"1m",0
"Microseris lanceolata",3,2018,"5m",0
"Microseris lanceolata",3,2018,"10m",0
"Microseris lanceolata",3,2018,"15m",0
"Olearia brevipedunculata",3,2018,"1m",0
"Olearia brevipedunculata",3,2018,"5m",0
"Olearia brevipedunculata",3,2018,"10m",0
"Olearia brevipedunculata",3,2018,"15m",0
"Olearia frostii",3,2018,"1m",0
"Olearia frostii",3,2018,"5m",1
"Olearia frostii",3,2018,"10m",0
"Olearia frostii",3,2018,"15m",0
"Oreomyrrhis eriopoda",3,2018,"1m",0
"Oreomyrrhis eriopoda",3,2018,"5m",1
"Oreomyrrhis eriopoda",3,2018,"10m",1
"Oreomyrrhis eriopoda",3,2018,"15m",1
"Orites Lancifolius",3,2018,"1m",0
"Orites Lancifolius",3,2018,"5m",0
"Orites Lancifolius",3,2018,"10m",0
"Orites Lancifolius",3,2018,"15m",0
"Phebalium squamulosum",3,2018,"1m",1
"Phebalium squamulosum",3,2018,"5m",1
"Phebalium squamulosum",3,2018,"10m",0
"Phebalium squamulosum",3,2018,"15m",1
"Pimelea alpina",3,2018,"1m",1
"Pimelea alpina",3,2018,"5m",1
"Pimelea alpina",3,2018,"10m",1
"Pimelea alpina",3,2018,"15m",1
"Pimelea axiflora",3,2018,"1m",0
"Pimelea axiflora",3,2018,"5m",0
"Pimelea axiflora",3,2018,"10m",0
"Pimelea axiflora",3,2018,"15m",0
"Plantago euryphylla",3,2018,"1m",1
"Plantago euryphylla",3,2018,"5m",1
"Plantago euryphylla",3,2018,"10m",1
"Plantago euryphylla",3,2018,"15m",1
"Poa hiemata",3,2018,"1m",1
"Poa hiemata",3,2018,"5m",1
"Poa hiemata",3,2018,"10m",1
"Poa hiemata",3,2018,"15m",1
"Poa hothamensis",3,2018,"1m",1
"Poa hothamensis",3,2018,"5m",1
"Poa hothamensis",3,2018,"10m",1
"Poa hothamensis",3,2018,"15m",1
"Podolepis robusta (grey form)",3,2018,"1m",0
"Podolepis robusta (grey form)",3,2018,"5m",0
"Podolepis robusta (grey form)",3,2018,"10m",0
"Podolepis robusta (grey form)",3,2018,"15m",0
"Prasophyllum alpinum",3,2018,"1m",0
"Prasophyllum alpinum",3,2018,"5m",0
